CUSTOMER_ID,SEX,AGE,ANNUAL_INCOME,NUMBER_OF_MONTHS,MARITAL_STATUS,LEASE
4199,M,67,11700.0,13,J,P
4216,M,58,8799.0,12,G,P
4239,M,39,25200.0,14,C,P
4258,M,51,19370.0,13,G,P
4263,W,73,13195.0,13,J,P
4274,M,42,23100.0,14,J,P
4277,M,62,22820.0,14,J,P
4293,M,42,19487.0,13,J,P
4299,M,56,19500.0,13,J,P
4307,M,53,35100.0,13,D,P
4311,M,44,19500.0,13,J,P
4353,W,62,20800.0,13,J,P
4363,W,58,19929.0,13,J,P
4376,M,50,20272.0,14,J,P
4381,M,66,26000.0,13,G,P
4382,W,65,13000.0,13,S,P
4395,M,43,19396.0,13,C,P
4401,M,49,19502.0,14,G,R
4409,W,43,21000.0,14,J,P
4432,M,67,21905.0,13,J,P
4444,W,46,20319.0,13,J,P
4447,M,43,19824.0,14,G,A
4454,M,52,29778.0,14,J,P
4478,W,73,6500.0,13,W,R
4489,W,43,16800.0,14,J,P
4498,W,61,13000.0,13,J,P
4515,M,68,13200.0,12,G,P
4519,M,62,23816.0,13,J,P
4540,W,49,24388.0,13,D,A
4546,M,55,22698.0,13,D,T
4556,W,52,19460.0,14,J,P
4558,M,57,34800.0,12,J,P
4567,W,40,26775.96,12,J,P
4600,M,35,17550.0,13,J,P
4616,M,42,19200.0,12,J,P
4637,W,48,14534.0,13,D,P
4640,M,44,16250.0,13,J,P
4701,M,51,24000.0,12,W,A
4733,M,51,32200.0,14,J,P
4765,W,58,16263.13,13,W,P
4792,M,59,34970.0,13,J,P
4803,W,64,13000.0,13,J,P
4834,M,44,20370.0,14,J,P
4844,M,69,26000.0,13,J,P
4858,M,42,23827.57,13,J,P
4861,M,47,30198.0,14,J,R
4871,M,50,29497.0,13,J,R
4874,W,71,11050.0,13,W,R
4884,M,47,19474.39,13,J,P
4890,M,43,17400.0,12,J,P
4896,M,67,36062.0,13,J,P
4897,W,63,23400.0,13,J,P
4920,M,51,22400.0,14,J,P
4921,M,51,27976.0,13,J,P
4933,M,46,28800.0,12,J,P
4937,W,52,21710.0,13,J,P
4951,W,46,18850.0,13,J,P
4959,M,51,22035.0,13,J,P
4980,W,47,14794.0,13,J,P
5005,M,60,22100.0,13,S,P
5012,M,45,22260.29,13,J,P
5029,M,71,10928.71,13,J,P
5049,M,47,22386.0,13,J,P
5063,M,67,46380.0,12,J,P
5074,M,42,19968.0,13,G,P
5103,M,43,14904.0,12,J,P
5112,W,59,27027.0,12,J,P
5114,M,63,28932.0,12,G,P
5125,W,36,16100.0,14,G,A
5126,M,65,24700.0,13,J,P
5127,W,63,20176.0,13,J,P
5188,M,61,14157.0,13,J,P
5204,M,44,27312.0,12,J,P
5223,M,55,22750.0,13,J,P
5227,M,55,65000.0,13,J,P
5232,M,50,19786.0,13,J,P
5234,M,71,65038.92,12,J,P
5254,M,43,21966.0,14,G,A
5288,M,51,17052.0,12,J,P
5290,M,54,11037.0,13,J,P
5292,M,62,21619.0,13,J,P
5300,W,51,14000.0,14,J,P
5325,W,57,12350.0,13,J,P
5331,M,65,91000.0,13,S,P
5340,W,38,31800.0,12,G,R
5355,M,44,9750.0,13,J,P
5370,M,53,22540.0,14,J,P
5407,W,48,23127.0,13,S,R
5424,M,36,22100.0,13,S,P
5428,M,54,22087.0,13,J,P
5437,M,45,19500.0,13,J,P
5447,M,40,25788.0,14,J,P
5457,M,45,24000.0,12,J,A
5482,W,56,7000.0,14,G,R
5485,M,58,27012.0,12,J,P
5490,M,47,10192.0,13,J,P
5517,M,62,14724.0,12,J,R
5522,M,35,19544.0,14,G,R
5550,M,41,14300.0,13,J,P
5567,W,54,16250.0,13,J,P
