CUSTOMER_ID,STATUS,SECTOR_TYPE,GOOD_VALUE,ADVANCE_VALUE,LOAN_VALUE,INSTALLMENT_VALUE,NUMBER_INSTALLMENT,GAPR,NIR,REFINANCED,FROM_REFINANCE
1378,CONCLUDED REGULARLY,FL,394.0,0.0,394.0,39.4,10,14.81808,0.0,N,N
1378,CONCLUDED REGULARLY,FL,1430.0,0.0,1430.0,143.0,10,13.2783,8.73321,N,N
1378,CONCLUDED REGULARLY,FL,1294.99,0.0,1294.99,64.75,20,0.00089,0.00089,N,N
1378,CONCLUDED REGULARLY,FL,1003.9,0.0,1003.9,100.39,10,0.0,0.0,N,N
1378,CONCLUDED REGULARLY,FL,316.88,0.0,316.88,31.69,11,12.18724,11.55519,N,N
1378,CONCLUDED REGULARLY,FL,589.97,0.0,589.97,59.0,10,0.01109,0.01109,N,N
1382,CONCLUDED REGULARLY,CL,11500.0,4500.0,7000.0,191.5,48,15.004,14.061,N,N
1382,EARLY EXPIRED,CL,15000.0,7500.0,8070.0,147.95,84,14.09,13.254,N,N
1382,CONCLUDED REGULARLY,FL,399.0,0.0,420.94,35.08,12,5.76415,0.00496,N,N
1382,CONCLUDED REGULARLY,FL,684.9,0.0,719.14,59.93,12,14.00165,0.00513,N,N
1382,CONCLUDED REGULARLY,CL,7800.0,2600.0,5500.0,118.0,60,14.49712,10.42051,N,N
1383,CONCLUDED REGULARLY,CL,23250.0,3000.0,20950.8,407.5,60,6.753,6.252,N,N
1387,EARLY EXPIRED,CL,14600.0,0.0,15153.38,273.5,72,9.839,9.047,N,N
1387,EARLY EXPIRED,CL,20300.0,0.0,20300.0,327.0,84,9.422,9.038,Y,N
1387,EARLY EXPIRED,PL,20569.81,0.0,22999.41,273.05,120,8.35566,7.50358,Y,Y
1387,EARLY EXPIRED,PL,20000.0,0.0,22633.23,284.0,120,9.80443,8.77833,N,Y
1425,CONCLUDED REGULARLY,FL,335.0,0.0,335.0,33.5,10,17.63221,0.0,N,N
1425,CONCLUDED REGULARLY,FL,271.99,0.0,271.99,27.18,11,15.37084,14.38367,N,N
